"president","frame_main_auto","n","prop","total"
"Barack Obama","economy",8,1,8
"Franklin D. Roosevelt","security",7,0.538461538461538,13
"Franklin D. Roosevelt","governance",5,0.384615384615385,13
"Franklin D. Roosevelt","economy",1,0.0769230769230769,13
"George W. Bush","security",6,0.75,8
"George W. Bush","governance",2,0.25,8
"Lyndon B. Johnson","governance",3,0.5,6
"Lyndon B. Johnson","economy",1,0.166666666666667,6
"Lyndon B. Johnson","security",1,0.166666666666667,6
"Lyndon B. Johnson","values",1,0.166666666666667,6
"Ronald Reagan","economy",5,0.625,8
"Ronald Reagan","governance",2,0.25,8
"Ronald Reagan","values",1,0.125,8
