"class","tp","fp","fn","precision","recall","f1","fold"
"economy",1,0,1,1,0.5,0.666666666666667,1
"governance",7,3,0,0.7,1,0.823529411764706,1
"security",2,1,3,0.666666666666667,0.4,0.5,1
"economy",2,3,1,0.4,0.666666666666667,0.5,2
"governance",3,3,3,0.5,0.5,0.5,2
"security",0,2,4,0,0,NA,2
"economy",2,4,1,0.333333333333333,0.666666666666667,0.444444444444444,3
"governance",6,1,1,0.857142857142857,0.857142857142857,0.857142857142857,3
"security",0,0,1,NA,0,NA,3
"welfare",0,0,2,NA,0,NA,3
"economy",1,5,1,0.166666666666667,0.5,0.25,4
"governance",5,2,3,0.714285714285714,0.625,0.666666666666667,4
"security",0,0,3,NA,0,NA,4
"economy",1,5,1,0.166666666666667,0.5,0.25,5
"governance",3,3,2,0.5,0.6,0.545454545454545,5
"security",1,0,5,1,0.166666666666667,0.285714285714286,5
